AQI.Value,AQI.Category,CO.AQI.Value,CO.AQI.Category,Ozone.AQI.Value,Ozone.AQI.Category,NO2.AQI.Value,NO2.AQI.Category,PM2.5.AQI.Value,PM2.5.AQI.Category
51,2,1,1,36,1,0,1,51,2
41,1,1,1,5,1,1,1,41,1
66,2,1,1,39,1,2,1,66,2
34,1,1,1,34,1,0,1,20,1
22,1,0,1,22,1,0,1,6,1
54,2,1,1,14,1,11,1,54,2
62,2,1,1,35,1,3,1,62,2
64,2,1,1,29,1,7,1,64,2
54,2,1,1,41,1,1,1,54,2
142,3,3,1,89,2,9,1,142,3
68,2,2,1,68,2,1,1,58,2
41,1,1,1,24,1,6,1,41,1
158,4,3,1,139,3,1,1,158,4
158,4,1,1,50,1,1,1,158,4
83,2,1,1,46,1,0,1,83,2
59,2,1,1,30,1,4,1,59,2
154,4,3,1,100,3,2,1,154,4
55,2,1,1,47,1,0,1,55,2
72,2,1,1,4,1,23,1,72,2
161,4,2,1,71,2,0,1,161,4
28,1,1,1,28,1,2,1,28,1
118,3,2,1,30,1,2,1,118,3
33,1,0,1,10,1,1,1,33,1
150,4,3,1,95,2,6,1,150,4
154,4,5,1,0,1,13,1,154,4
81,2,1,1,24,1,1,1,81,2
67,2,1,1,16,1,2,1,67,2
62,2,1,1,37,1,1,1,62,2
31,1,1,1,31,1,0,1,17,1
56,2,1,1,35,1,0,1,56,2
77,2,2,1,22,1,15,1,77,2
44,1,1,1,15,1,0,1,44,1
30,1,1,1,9,1,2,1,30,1
30,1,1,1,30,1,1,1,15,1
79,2,3,1,18,1,5,1,79,2
34,1,1,1,19,1,7,1,34,1
51,2,1,1,20,1,5,1,51,2
77,2,1,1,34,1,0,1,77,2
61,2,1,1,32,1,3,1,61,2
32,1,1,1,7,1,2,1,32,1
64,2,3,1,64,2,4,1,64,2
29,1,0,1,29,1,0,1,25,1
51,2,1,1,23,1,0,1,51,2
247,5,3,1,162,4,1,1,247,5
45,1,1,1,32,1,7,1,45,1
36,1,1,1,25,1,3,1,36,1
81,2,2,1,81,2,4,1,56,2
124,3,2,1,15,1,5,1,124,3
72,2,1,1,26,1,2,1,72,2
55,2,0,1,32,1,1,1,55,2
31,1,0,1,31,1,0,1,25,1
157,4,1,1,89,2,0,1,157,4
60,2,1,1,31,1,1,1,60,2
153,4,1,1,40,1,0,1,153,4
22,1,0,1,19,1,0,1,22,1
30,1,1,1,17,1,0,1,30,1
44,1,1,1,34,1,0,1,44,1
47,1,1,1,37,1,4,1,47,1
37,1,0,1,32,1,2,1,37,1
44,1,1,1,14,1,8,1,44,1
58,2,2,1,14,1,24,1,58,2
37,1,0,1,33,1,0,1,37,1
89,2,3,1,3,1,6,1,89,2
52,2,2,1,38,1,7,1,52,2
59,2,2,1,16,1,0,1,59,2
51,2,1,1,25,1,6,1,51,2
66,2,1,1,26,1,1,1,66,2
38,1,1,1,38,1,0,1,13,1
34,1,1,1,30,1,7,1,34,1
88,2,2,1,11,1,20,1,88,2
54,2,1,1,31,1,3,1,54,2
44,1,1,1,28,1,3,1,44,1
51,2,1,1,26,1,6,1,51,2
67,2,2,1,15,1,23,1,67,2
42,1,1,1,5,1,2,1,42,1
189,4,2,1,99,2,1,1,189,4
49,1,1,1,25,1,3,1,49,1
203,5,5,1,203,5,5,1,151,4
